motor_front,motor_back,pitch_filter,pitch_raw
513, 487, -1.128126, -0.982870
512, 488, -1.129968, -1.020185
511, 489, -1.132367, -1.210276
511, 489, -1.136822, -1.260986
511, 489, -1.140973, -1.401595
510, 490, -1.133820, -0.981519
509, 491, -1.124786, -1.047806
509, 491, -1.116756, -1.044728
509, 491, -1.107942, -1.060939
507, 493, -1.098776, -1.197816
506, 494, -1.081827, -0.951323
506, 494, -1.068420, -1.014715
505, 495, -1.050374, -0.919841
505, 495, -1.027984, -0.722756
504, 496, -1.002102, -0.652439
503, 497, -0.980349, -0.790055
503, 497, -0.955712, -0.716416
502, 498, -0.927901, -0.637036
501, 499, -0.901714, -0.805782
500, 500, -0.879647, -0.972770
500, 500, -0.841611, -0.197008
500, 500, -0.829271, -1.518473
502, 498, -0.809194, -0.883998
497, 503, -0.791856, -1.450926
493, 507, -0.781939, -2.343966
499, 501, -0.709652, 1.640417
497, 503, -0.685362, -0.950747
492, 508, -0.684333, -2.719484
497, 503, -0.631649, 0.526534
491, 509, -0.625684, -2.640985
490, 510, -0.574389, -0.253111
490, 510, -0.506380, 0.536682
485, 515, -0.472954, -1.663699
486, 514, -0.415781, -0.347044
479, 521, -0.366683, -1.535107
473, 527, -0.277045, -0.196218
471, 529, -0.204618, -1.211387
467, 533, -0.095395, 0.140919
459, 541, 0.026731, -0.926790
452, 548, 0.144733, -1.547263
447, 553, 0.289232, -0.330605
435, 565, 0.444719, -1.214892
427, 573, 0.666788, -0.600274
423, 577, 0.843544, -0.634959
414, 586, 1.043590, -0.137623
406, 594, 1.269540, 0.472058
402, 598, 1.504228, 0.965630
397, 603, 1.745551, 1.125492
390, 610, 2.001348, 1.507860
387, 613, 2.262954, 1.860385
381, 619, 2.534426, 2.176608
376, 624, 2.815241, 2.584309
372, 628, 3.102213, 3.000240
370, 630, 3.393006, 3.384287
365, 635, 3.691052, 3.783039
361, 639, 3.991277, 3.993159
357, 643, 4.304780, 4.971391
354, 646, 4.615947, 5.179021
352, 648, 4.919206, 5.242499
349, 651, 5.223021, 5.683012
347, 653, 5.522724, 5.846633
344, 656, 5.823638, 6.223067
341, 659, 6.125441, 6.587526
340, 660, 6.421286, 6.821631
337, 663, 6.719296, 7.100310
337, 663, 7.008570, 7.560874
336, 664, 7.295167, 7.873475
336, 664, 7.576351, 8.340926
334, 666, 7.851662, 8.419285
334, 666, 8.118315, 8.755667
334, 666, 8.381146, 9.122697
333, 667, 8.634257, 9.224607
336, 664, 8.872909, 9.460374
336, 664, 9.109234, 10.013378
337, 663, 9.346219, 10.736436
339, 661, 9.576188, 11.231953
341, 659, 9.799263, 11.570513
341, 659, 10.002894, 11.348553
344, 656, 10.185532, 11.074401
346, 654, 10.352834, 11.064249
349, 651, 10.510908, 11.487079
351, 649, 10.675282, 12.364639
353, 647, 10.827255, 12.524859
357, 643, 10.962707, 12.548767
361, 639, 11.075624, 12.280560
365, 635, 11.171900, 12.388485
368, 632, 11.253959, 12.344347
373, 627, 11.316129, 12.222285
377, 623, 11.366392, 12.357027
382, 618, 11.403222, 12.506882
386, 614, 11.419344, 12.267239
388, 612, 11.427499, 12.258692
394, 606, 11.420515, 12.345415
400, 600, 11.399419, 12.266109
404, 596, 11.365171, 12.202336
406, 594, 11.327315, 12.375107
411, 589, 11.274704, 12.107868
413, 587, 11.212772, 11.937258
419, 581, 11.139480, 11.947509
425, 575, 11.049582, 11.781156
428, 572, 10.955121, 11.739731
431, 569, 10.849779, 11.505580
435, 565, 10.736901, 11.366496
439, 561, 10.615135, 11.237626
443, 557, 10.485266, 11.042320
446, 554, 10.346381, 10.745843
450, 550, 10.188059, 10.344696
453, 547, 10.030561, 10.057433
455, 545, 9.869158, 9.723536
459, 541, 9.703715, 9.788141
461, 539, 9.537869, 9.550346
464, 536, 9.367393, 9.416666
467, 533, 9.189812, 9.066209
467, 533, 9.018646, 9.058477
472, 528, 8.842115, 8.966075
474, 526, 8.665622, 8.759369
475, 525, 8.486917, 8.402148
476, 524, 8.306332, 8.160362
479, 521, 8.120859, 7.848660
479, 521, 7.945414, 7.917230
482, 518, 7.768784, 7.723998
482, 518, 7.598053, 7.678450
482, 518, 7.423014, 7.040841
483, 517, 7.250506, 6.929361
483, 517, 7.079906, 6.558719
483, 517, 6.914207, 6.454009
483, 517, 6.749072, 6.043055
484, 516, 6.584353, 5.666699
482, 518, 6.426939, 5.485887
481, 519, 6.285257, 5.651538
479, 521, 6.146081, 5.220225
478, 522, 6.009229, 5.051216
478, 522, 5.879744, 4.920754
476, 524, 5.759912, 4.756222
473, 527, 5.659025, 5.007020
472, 528, 5.556331, 4.535609
470, 530, 5.471478, 4.858461
469, 531, 5.391282, 4.666686
466, 534, 5.325309, 4.880152
464, 536, 5.265000, 4.652637
462, 538, 5.208430, 4.522398
460, 540, 5.175551, 5.239954
457, 543, 5.137433, 4.519233
455, 545, 5.111443, 4.731546
454, 546, 5.088507, 4.609486
451, 549, 5.073175, 4.468712
450, 550, 5.064926, 4.531812
448, 552, 5.063436, 4.559428
445, 555, 5.067430, 4.371276
442, 558, 5.079273, 4.441330
440, 560, 5.099206, 4.616190
437, 563, 5.128197, 4.674960
435, 565, 5.155980, 4.378411
430, 570, 5.200018, 4.695480
428, 572, 5.248280, 4.694115
425, 575, 5.305642, 4.842266
423, 577, 5.367392, 4.866939
420, 580, 5.435785, 4.986413
418, 582, 5.512104, 5.256114
417, 583, 5.589672, 5.263871
415, 585, 5.680707, 5.784923
412, 588, 5.773355, 5.788689
410, 590, 5.877180, 6.196342
408, 592, 5.979331, 6.085266
408, 592, 6.077714, 6.119143
406, 594, 6.182680, 6.414799
