motor_front,motor_back,pitch_filter,pitch_raw
471, 529, 2.439748, -0.969862
471, 529, 2.394606, -0.910361
470, 530, 2.354254, -0.821272
469, 531, 2.319338, -0.803366
470, 530, 2.285870, -0.746985
469, 531, 2.255052, -0.725310
468, 532, 2.228466, -0.730486
468, 532, 2.202196, -0.781518
468, 532, 2.176822, -0.851330
468, 532, 2.154847, -0.823390
467, 533, 2.135958, -0.756077
467, 533, 2.121503, -0.636362
465, 535, 2.117850, -0.357428
467, 533, 2.111980, -0.225490
465, 535, 2.112647, -0.137589
465, 535, 2.115242, -0.044155
465, 535, 2.119555, -0.026330
465, 535, 2.122555, 0.001621
465, 535, 2.130616, 0.079472
462, 538, 2.147673, 0.104393
465, 535, 2.158616, 0.301766
464, 536, 2.171507, 0.182428
467, 533, 2.173345, 0.230515
466, 534, 2.175236, 0.071344
462, 538, 2.191871, 0.078625
466, 534, 2.195839, 0.089197
460, 540, 2.216310, 0.113152
463, 537, 2.227934, 0.146046
460, 540, 2.251661, 0.248680
456, 544, 2.286879, 0.166484
454, 546, 2.326128, 0.206341
452, 548, 2.370205, 0.148034
446, 554, 2.426853, 0.074303
442, 558, 2.492914, -0.132398
432, 568, 2.589011, -0.076566
428, 572, 2.694383, -0.062017
420, 580, 2.820300, 0.047768
413, 587, 2.965242, 0.233483
407, 593, 3.123870, 0.346527
400, 600, 3.305480, 0.742458
396, 604, 3.498423, 0.968386
389, 611, 3.706590, 1.345607
384, 616, 3.926260, 1.533689
379, 621, 4.153304, 1.725787
374, 626, 4.395926, 2.178121
371, 629, 4.638369, 2.455752
368, 632, 4.891479, 3.095188
363, 637, 5.154916, 3.469220
362, 638, 5.413852, 3.803450
360, 640, 5.680608, 4.444981
355, 645, 5.952657, 4.750021
355, 645, 6.223503, 5.311216
354, 646, 6.489123, 5.563188
349, 651, 6.760322, 5.786142
347, 653, 7.029876, 6.176896
348, 652, 7.290603, 6.375788
347, 653, 7.542579, 6.608250
341, 659, 7.812782, 7.266300
340, 660, 8.080626, 7.585692
341, 659, 8.333274, 7.795425
341, 659, 8.571003, 7.651218
337, 663, 8.805602, 7.449044
337, 663, 9.028026, 7.513511
340, 660, 9.239616, 7.984107
342, 658, 9.465153, 9.564630
341, 659, 9.692695, 10.131682
339, 661, 9.917024, 10.400103
341, 659, 10.117414, 10.100924
346, 654, 10.291251, 9.955523
350, 650, 10.444304, 10.039662
352, 648, 10.596112, 10.724855
354, 646, 10.738710, 11.107801
358, 642, 10.873049, 11.649443
363, 637, 10.988863, 11.864664
369, 631, 11.084002, 12.046371
372, 628, 11.164095, 12.157410
376, 624, 11.222257, 11.978876
380, 620, 11.258082, 11.489602
386, 614, 11.271345, 11.416121
391, 609, 11.262694, 11.512147
393, 607, 11.260233, 12.067521
397, 603, 11.248425, 12.308505
403, 597, 11.218772, 12.444429
405, 595, 11.182284, 12.219815
409, 591, 11.127174, 11.944895
414, 586, 11.045016, 11.314076
418, 582, 10.954551, 11.092685
421, 579, 10.854602, 10.922397
425, 575, 10.743526, 10.814750
427, 573, 10.629113, 10.770602
430, 570, 10.509051, 10.699352
435, 565, 10.383334, 10.651675
438, 562, 10.250096, 10.608954
442, 558, 10.107379, 10.514189
445, 555, 9.963363, 10.394387
449, 551, 9.803148, 10.028576
451, 549, 9.643292, 9.802093
454, 546, 9.477144, 9.598067
456, 544, 9.305082, 9.316664
459, 541, 9.131383, 9.209139
462, 538, 8.958866, 9.163991
464, 536, 8.784287, 8.917886
465, 535, 8.608086, 8.654603
467, 533, 8.421182, 8.040426
468, 532, 8.236537, 7.797656
469, 531, 8.057201, 7.639453
470, 530, 7.880427, 7.412639
468, 532, 7.713888, 7.260287
470, 530, 7.542849, 6.877212
470, 530, 7.379131, 6.728877
469, 531, 7.224748, 6.636276
468, 532, 7.080766, 6.584700
468, 532, 6.943355, 6.480148
466, 534, 6.815504, 6.319078
465, 535, 6.690022, 5.927377
463, 537, 6.576328, 5.853930
462, 538, 6.472039, 5.805153
460, 540, 6.376976, 5.706440
459, 541, 6.288990, 5.567454
455, 545, 6.211388, 5.386562
453, 547, 6.143525, 5.346827
454, 546, 6.077412, 5.249277
449, 551, 6.024551, 5.104505
448, 552, 5.976793, 4.961394
444, 556, 5.942356, 4.843325
444, 556, 5.912030, 4.962263
442, 558, 5.897048, 5.173298
440, 560, 5.891823, 5.182343
438, 562, 5.891571, 5.169053
436, 564, 5.896504, 5.046341
431, 569, 5.914474, 5.074013
429, 571, 5.941794, 5.227314
428, 572, 5.980821, 5.535163
424, 576, 6.028378, 5.578990
422, 578, 6.079047, 5.484126
420, 580, 6.132531, 5.435447
418, 582, 6.190188, 5.458889
415, 585, 6.258501, 5.667161
414, 586, 6.329896, 5.843406
410, 590, 6.413411, 6.105659
410, 590, 6.497394, 6.171562
408, 592, 6.586662, 6.249764
406, 594, 6.676998, 6.351638
404, 596, 6.769466, 6.386877
404, 596, 6.860087, 6.490397
401, 599, 6.955854, 6.561877
401, 599, 7.048370, 6.650005
401, 599, 7.141723, 6.886251
400, 600, 7.237515, 7.043939
399, 601, 7.331123, 7.138217
398, 602, 7.429934, 7.383318
398, 602, 7.525311, 7.500377
397, 603, 7.621529, 7.724172
397, 603, 7.712701, 7.782152
399, 601, 7.799349, 7.871003
398, 602, 7.886427, 8.044999
398, 602, 7.970795, 8.117683
398, 602, 8.051277, 8.266477
399, 601, 8.127290, 8.322803
400, 600, 8.197791, 8.419498
400, 600, 8.268705, 8.545786
400, 600, 8.334873, 8.626756
402, 598, 8.393053, 8.653586
402, 598, 8.448220, 8.706579
404, 596, 8.496176, 8.687409
404, 596, 8.538538, 8.611684
406, 594, 8.572131, 8.586494
406, 594, 8.600380, 8.590158
406, 594, 8.630216, 8.656693
409, 591, 8.651170, 8.717754
410, 590, 8.671288, 8.944777
412, 588, 8.686547, 9.082529
414, 586, 8.697472, 9.191549
413, 587, 8.708237, 9.349238
415, 585, 8.712233, 9.392596
416, 584, 8.713931, 9.384789
418, 582, 8.707722, 9.351770
422, 578, 8.693322, 9.347599
422, 578, 8.675354, 9.272172
424, 576, 8.650040, 9.191660
425, 575, 8.619108, 9.103269
428, 572, 8.579920, 8.905388
428, 572, 8.538346, 8.788142
429, 571, 8.492280, 8.573662
430, 570, 8.442910, 8.463109
431, 569, 8.391039, 8.321675
432, 568, 8.332687, 8.141208
