all i2c devices detected
calibration complete, -0.723899 0.469468 6.348301 -9.616370 7.730801 0.000000
   1.63664,  -47.62432,  -46.63910
   1.63664,  -47.72054,  -45.76788
   1.63664,  -47.81797,  -44.91528
   1.51488,  -47.91571,  -44.08245
   1.51488,  -48.01358,  -43.26643
   1.51488,  -48.11159,  -42.46685
   1.51488,  -48.20982,  -41.68349
   1.06753,  -48.30779,  -40.92448
   1.06753,  -48.40721,  -40.18207
   1.06753,  -48.50383,  -39.45176
   1.06753,  -48.59966,  -38.73529
   0.39289,  -48.69355,  -38.04475
   0.39289,  -48.78505,  -37.36566
   0.39289,  -48.87674,  -36.70034
   0.39289,  -48.96624,  -36.04618
  -0.31044,  -49.05430,  -35.41778
  -0.31044,  -49.14107,  -34.80067
  -0.31044,  -49.22646,  -34.19455
  -0.31044,  -49.30872,  -33.59748
  -0.92250,  -49.38903,  -33.02269
  -0.92250,  -49.46775,  -32.45783
  -0.92250,  -49.54415,  -31.90199
  -0.92250,  -49.61846,  -31.35523
  -1.22008,  -49.68982,  -30.82246
  -1.45924,  -49.75929,  -30.30328
  -1.45924,  -49.82706,  -29.79282
  -1.45924,  -49.89311,  -29.29087
  -1.45924,  -49.95739,  -28.79723
  -1.93434,  -50.01802,  -28.31939
  -1.93434,  -50.07660,  -27.84910
  -1.93434,  -50.13397,  -27.38703
  -1.93434,  -50.19030,  -26.93319
  -2.36204,  -50.24631,  -26.49665
  -2.36204,  -50.30042,  -26.06698
  -2.36204,  -50.35301,  -25.64443
  -2.36204,  -50.40491,  -25.22964
  -2.64188,  -50.45634,  -24.82829
  -2.64188,  -50.50719,  -24.43439
  -2.64188,  -50.55659,  -24.04696
  -2.64188,  -50.60523,  -23.66652
  -2.77629,  -50.65342,  -23.29594
  -2.77629,  -50.70094,  -22.93212
  -2.77629,  -50.74859,  -22.57570
  -2.77629,  -50.79688,  -22.22704
  -2.75089,  -50.84429,  -21.88398
  -2.75089,  -50.89163,  -21.54771
  -2.75089,  -50.93923,  -21.21842
  -2.75089,  -50.98708,  -20.89596
  -2.61466,  -51.03551,  -20.57780
  -2.61466,  -51.08406,  -20.26611
  -2.61466,  -51.13292,  -19.96096
  -2.61466,  -51.18214,  -19.66227
  -2.53440,  -51.23147,  -19.36805
  -2.53440,  -51.28212,  -19.08102
  -2.53440,  -51.33391,  -18.80084
  -2.53440,  -51.38655,  -18.52710
  -2.59655,  -51.43979,  -18.26066
  -2.59655,  -51.49385,  -18.00036
  -2.59655,  -51.54977,  -17.74709
  -2.59655,  -51.60645,  -17.49962
  -2.95277,  -51.66417,  -17.26524
  -2.82518,  -51.72290,  -17.03400
  -2.82518,  -51.78320,  -16.80891
  -2.82518,  -51.84423,  -16.58905
  -3.32857,  -51.90577,  -16.38415
  -3.21326,  -51.96816,  -16.18188
  -3.21326,  -52.03127,  -15.98435
  -3.21326,  -52.09546,  -15.79183
  -3.21326,  -52.16105,  -15.60455
  -3.68442,  -52.22746,  -15.43123
  -3.68442,  -52.29512,  -15.26259
  -3.68442,  -52.36385,  -15.09839
  -3.68442,  -52.43431,  -14.93917
  -4.13667,  -52.50589,  -14.79326
  -4.13667,  -52.57860,  -14.65139
  -4.13667,  -52.65300,  -14.51400
  -4.13667,  -52.72884,  -14.38078
  -4.54746,  -52.80743,  -14.26113
  -4.54746,  -52.88760,  -14.14543
  -4.54746,  -52.97065,  -14.03485
  -4.54746,  -53.05373,  -13.92653
  -4.83206,  -53.13831,  -13.82753
  -4.83206,  -53.22614,  -13.73369
  -4.83206,  -53.31529,  -13.64302
  -4.83206,  -53.40537,  -13.55508
  -5.13833,  -53.49750,  -13.47703
  -5.13833,  -53.59036,  -13.40126
  -5.13833,  -53.68527,  -13.32901
  -5.13833,  -53.78102,  -13.25904
  -5.45584,  -53.87791,  -13.19793
  -5.45584,  -53.97560,  -13.13882
  -5.45584,  -54.07423,  -13.08182
  -5.45584,  -54.17420,  -13.02727
  -5.90660,  -54.27456,  -12.98321
  -5.90660,  -54.37514,  -12.94024
  -5.90660,  -54.47569,  -12.89811
  -5.90660,  -54.57705,  -12.85761
  -6.46886,  -54.67837,  -12.82913
  -6.46886,  -54.77974,  -12.80127
  -6.46886,  -54.88171,  -12.77455
  -6.46886,  -54.98425,  -12.74892
  -7.00717,  -55.08773,  -12.73549
  -7.00717,  -55.19149,  -12.72262
  -7.00717,  -55.29507,  -12.70982
  -7.00717,  -55.39842,  -12.69704
  -7.52796,  -55.50162,  -12.69480
  -7.53622,  -55.60424,  -12.69220
  -7.53622,  -55.70647,  -12.68927
  -7.53622,  -55.80799,  -12.68570
  -7.53622,  -55.91022,  -12.68289
  -7.96474,  -56.01001,  -12.68632
  -7.96474,  -56.10838,  -12.68830
  -7.96474,  -56.20641,  -12.68989
  -7.96474,  -56.30335,  -12.69039
  -8.39031,  -56.39949,  -12.69861
  -8.39031,  -56.50723,  -12.71803
  -8.39031,  -56.60089,  -12.72326
  -8.39031,  -56.69370,  -12.72755
  -8.74469,  -56.78590,  -12.73825
