roll_accel,roll_intl,roll_cal
  -1.84748,    0.29170,    0.24892
  -1.84748,    0.29333,    0.20858
  -1.82188,    0.29455,    0.16917
  -1.82188,    0.29531,    0.13009
  -1.82188,    0.29560,    0.09134
  -1.82188,    0.29578,    0.05325
  -1.79689,    0.29549,    0.01596
  -1.79689,    0.29499,   -0.02079
  -1.79689,    0.29441,   -0.05687
  -1.79689,    0.29340,   -0.09266
  -1.70674,    0.29236,   -0.12596
  -1.72432,    0.29118,   -0.15909
  -1.72432,    0.28905,   -0.19248
  -1.72432,    0.28626,   -0.22585
  -1.72432,    0.28311,   -0.25891
  -1.56749,    0.27981,   -0.28831
  -1.56749,    0.27614,   -0.31749
  -1.56749,    0.27193,   -0.34662
  -1.56749,    0.26739,   -0.37549
  -1.42162,    0.26225,   -0.40145
  -1.42162,    0.25722,   -0.42677
  -1.42162,    0.25220,   -0.45159
  -1.42162,    0.24725,   -0.47584
  -1.22505,    0.24238,   -0.49560
  -1.22505,    0.23747,   -0.51500
  -1.22505,    0.23239,   -0.53418
  -1.22505,    0.22744,   -0.55285
  -1.05887,    0.22256,   -0.56775
  -1.05887,    0.21777,   -0.58227
  -1.05887,    0.21314,   -0.59634
  -1.05887,    0.20860,   -0.61004
  -0.93835,    0.20465,   -0.62048
  -0.93835,    0.20105,   -0.63036
  -0.93835,    0.19764,   -0.63986
  -0.93835,    0.19427,   -0.64913
  -0.82066,    0.19113,   -0.65565
  -0.82066,    0.18794,   -0.66207
  -0.82066,    0.18512,   -0.66801
  -0.82066,    0.18241,   -0.67372
  -0.81265,    0.17988,   -0.67898
  -0.81265,    0.17815,   -0.68334
  -0.81265,    0.17695,   -0.68711
  -0.81265,    0.17570,   -0.69084
  -0.94271,    0.17456,   -0.69699
  -0.92601,    0.17361,   -0.70250
  -0.92601,    0.17310,   -0.70748
  -0.92601,    0.17295,   -0.71199
  -0.92601,    0.17398,   -0.71526
  -1.15315,    0.17552,   -0.72251
  -1.15315,    0.17702,   -0.72965
  -1.15315,    0.17870,   -0.73647
  -1.15315,    0.18086,   -0.74269
  -1.49946,    0.18409,   -0.75466
  -1.49946,    0.18735,   -0.76637
  -1.49946,    0.19060,   -0.77784
  -1.49946,    0.19350,   -0.78944
  -1.82489,    0.19628,   -0.80742
  -1.82489,    0.19976,   -0.82436
  -1.82489,    0.20364,   -0.84056
  -1.82489,    0.20760,   -0.85637
  -2.10094,    0.21127,   -0.87767
  -2.10094,    0.21442,   -0.89905
  -2.10094,    0.21797,   -0.91960
  -2.10094,    0.22219,   -0.93910
  -2.26835,    0.22625,   -0.96170
  -2.26835,    0.22987,   -0.98428
  -2.26835,    0.23327,   -1.00664
  -2.26835,    0.23712,   -1.02810
  -2.22477,    0.24099,   -1.04824
  -2.22477,    0.24503,   -1.06781
  -2.22477,    0.24880,   -1.08726
  -2.22477,    0.25224,   -1.10664
  -2.01648,    0.25539,   -1.12174
  -2.01648,    0.25879,   -1.13630
  -2.01648,    0.26231,   -1.15046
  -2.01648,    0.26593,   -1.16423
  -1.63010,    0.26945,   -1.17010
  -1.63010,    0.27315,   -1.17567
  -1.63010,    0.27684,   -1.18114
  -1.63010,    0.28051,   -1.18653
  -1.11841,    0.28414,   -1.18161
  -1.11986,    0.28780,   -1.17679
  -1.11986,    0.29180,   -1.17173
  -1.11986,    0.29597,   -1.16660
  -1.11986,    0.30057,   -1.16116
  -0.64803,    0.30466,   -1.14689
  -0.64803,    0.30848,   -1.13317
  -0.64803,    0.31214,   -1.11988
  -0.64803,    0.31604,   -1.10662
  -0.19272,    0.32004,   -1.08442
  -0.19272,    0.32397,   -1.06274
  -0.19272,    0.32752,   -1.04186
  -0.19272,    0.33085,   -1.02161
   0.16486,    0.33469,   -0.99412
   0.16486,    0.33913,   -0.96659
   0.16486,    0.34389,   -0.93930
   0.16486,    0.34843,   -0.91277
   0.48320,    0.35341,   -0.87997
   0.48320,    0.35878,   -0.84743
   0.48320,    0.36451,   -0.81521
   0.48320,    0.37007,   -0.78379
   0.71549,    0.37524,   -0.74874
   0.71549,    0.38037,   -0.71443
   0.71549,    0.38550,   -0.68081
   0.71549,    0.39073,   -0.64775
   0.92404,    0.39641,   -0.61075
   0.92404,    0.40219,   -0.57439
   0.92404,    0.40775,   -0.53897
   0.92404,    0.41366,   -0.50393
   0.99915,    0.41992,   -0.46772
   0.99915,    0.42643,   -0.43200
   0.99915,    0.43346,   -0.39649
   0.99915,    0.44072,   -0.36146
   1.03686,    0.44868,   -0.32570
   1.03686,    0.45583,   -0.29144
   1.03686,    0.46302,   -0.25783
   1.03686,    0.47103,   -0.22408
   0.99327,    0.47942,   -0.19152
   0.99327,    0.48813,   -0.15928
   0.99327,    0.49679,   -0.12775
   0.99327,    0.50553,   -0.09676
   0.86294,    0.51425,   -0.06903
   0.86294,    0.52316,   -0.04165
   0.86294,    0.53210,   -0.01479
   0.86294,    0.54107,    0.01155
   0.66194,    0.54994,    0.03325
   0.66314,    0.55929,    0.05501
   0.66314,    0.56833,    0.07603
   0.66314,    0.57748,    0.09674
   0.66314,    0.58666,    0.11707
   0.41692,    0.59601,    0.13223
   0.41692,    0.60479,    0.14652
   0.41692,    0.61332,    0.16029
   0.41692,    0.62166,    0.17359
   0.24850,    0.62981,    0.18308
   0.24850,    0.63780,    0.19222
   0.24850,    0.64588,    0.20126
   0.24850,    0.65425,    0.21041
   0.12461,    0.66272,    0.21700
   0.12461,    0.67137,    0.22363
   0.12461,    0.67956,    0.22967
   0.12461,    0.68640,    0.23427
   0.09273,    0.69313,    0.23804
   0.09273,    0.70015,    0.24201
   0.09273,    0.70735,    0.24608
   0.09273,    0.71437,    0.24989
   0.06527,    0.72139,    0.25308
   0.06527,    0.72858,    0.25638
   0.06527,    0.73630,    0.26012
   0.06527,    0.74417,    0.26393
   0.05294,    0.75163,    0.26702
   0.05294,    0.75887,    0.26983
   0.05294,    0.76593,    0.27241
   0.05294,    0.77301,    0.27497
   0.07504,    0.77996,    0.27778
   0.07504,    0.78673,    0.28035
   0.07504,    0.79352,    0.28290
   0.07504,    0.80009,    0.28519
   0.10024,    0.80660,    0.28786
   0.10024,    0.81278,    0.29017
   0.10024,    0.81888,    0.29235
   0.10024,    0.82501,    0.29451
   0.20581,    0.83123,    0.29884
   0.20354,    0.83733,    0.30291
   0.20354,    0.84357,    0.30704
   0.20354,    0.84967,    0.31095
   0.22471,    0.85577,    0.31520
   0.22153,    0.86205,    0.31948
   0.22153,    0.86837,    0.32371
   0.22153,    0.87411,    0.32730
   0.22153,    0.87907,    0.33004
   0.19196,    0.88404,    0.33215
   0.19196,    0.88875,    0.33397
   0.19196,    0.89320,    0.33548
   0.19196,    0.89753,    0.33686
   0.08266,    0.90176,    0.33592
   0.08266,    0.90540,    0.33442
   0.08266,    0.90857,    0.33249
   0.08266,    0.91137,    0.33024
  -0.11751,    0.91413,    0.32399
  -0.11751,    0.91633,    0.31732
  -0.11751,    0.91835,    0.31060
  -0.11751,    0.92030,    0.30395
  -0.27425,    0.92225,    0.29429
  -0.27425,    0.92427,    0.28490
  -0.27425,    0.92588,    0.27530
  -0.27425,    0.92735,    0.26575
  -0.35105,    0.92922,    0.25525
  -0.35105,    0.93139,    0.24524
  -0.35105,    0.93345,    0.23534
  -0.35105,    0.93470,    0.22484
  -0.33677,    0.93576,    0.21465
  -0.33677,    0.93709,    0.20491
  -0.33677,    0.93848,    0.19545
  -0.33677,    0.93973,    0.18603
  -0.25915,    0.94043,    0.17781
  -0.25915,    0.94138,    0.17000
  -0.25915,    0.94223,    0.16225
  -0.25915,    0.94318,    0.15476
  -0.14617,    0.94381,    0.14935
  -0.14776,    0.94392,    0.14352
  -0.14776,    0.94418,    0.13794
  -0.14776,    0.94447,    0.13252
  -0.08850,    0.94498,    0.12860
  -0.09061,    0.94543,    0.12465
  -0.09061,    0.94546,    0.12038
  -0.09061,    0.94535,    0.11605
  -0.09061,    0.94543,    0.11199
  -0.10175,    0.94565,    0.10793
  -0.10175,    0.94613,    0.10421
