motor_front,motor_back,pitch_filter,pitch_raw
500, 500, -0.014094, 4.743727
498, 502, 0.069243, 5.052042
496, 504, 0.154493, 5.255745
493, 507, 0.241848, 5.407276
490, 510, 0.333698, 5.470022
488, 512, 0.424773, 5.380922
485, 515, 0.510709, 5.045344
482, 518, 0.602497, 4.773541
480, 520, 0.692936, 4.327637
477, 523, 0.770598, 3.868499
475, 525, 0.855623, 4.073970
473, 527, 0.927866, 4.542536
470, 530, 1.002438, 5.344439
468, 532, 1.074378, 6.100138
466, 534, 1.145804, 6.440494
464, 536, 1.209212, 5.768750
463, 537, 1.254120, 4.586637
462, 538, 1.281552, 3.154636
462, 538, 1.286859, 2.030286
462, 538, 1.277409, 1.395753
462, 538, 1.271096, 2.212149
462, 538, 1.287888, 3.038693
461, 539, 1.304113, 3.933836
461, 539, 1.331631, 4.506411
459, 541, 1.373588, 4.339388
459, 541, 1.383587, 4.135126
458, 542, 1.404601, 3.824638
458, 542, 1.432010, 3.954893
457, 543, 1.442517, 3.732709
457, 543, 1.462030, 4.290756
456, 544, 1.489074, 4.606364
454, 546, 1.535769, 4.924445
453, 547, 1.574727, 4.841920
452, 548, 1.609693, 4.442801
451, 549, 1.653310, 4.289742
449, 551, 1.702649, 4.124460
448, 552, 1.755918, 4.167390
446, 554, 1.822131, 4.362539
444, 556, 1.898620, 4.280937
441, 559, 1.979578, 4.296720
439, 561, 2.061755, 4.093323
436, 564, 2.150131, 4.120340
433, 567, 2.246421, 4.563730
431, 569, 2.329526, 4.607663
428, 572, 2.420882, 5.046884
425, 575, 2.508151, 5.018281
423, 577, 2.575379, 4.486865
421, 579, 2.637361, 4.385779
420, 580, 2.682173, 3.877175
419, 581, 2.729897, 3.747156
418, 582, 2.764474, 3.527275
417, 583, 2.791009, 3.415534
416, 584, 2.819151, 3.530344
415, 585, 2.844072, 3.518696
415, 585, 2.862499, 3.555043
414, 586, 2.885205, 3.502108
413, 587, 2.903007, 3.493875
413, 587, 2.916949, 3.568073
