motor_front,motor_back,pitch_filter,gyro
492, 508, 1.172774, 2.034730
490, 510, 1.165826, 2.523026
492, 508, 1.157068, 2.004212
492, 508, 1.150041, 2.248360
492, 508, 1.141990, 2.034730
495, 505, 1.130520, 1.302286
500, 500, 1.114164, 0.081545
501, 499, 1.098118, -0.284677
503, 497, 1.082938, -0.772973
503, 497, 1.067335, -0.772973
504, 496, 1.048192, -1.017121
503, 497, 1.025799, -0.956084
502, 498, 1.001568, -0.681417
501, 499, 0.972658, -0.437269
505, 495, 0.936618, -1.474899
505, 495, 0.901020, -1.352825
501, 499, 0.872350, -0.406751
503, 497, 0.843597, -0.864528
500, 500, 0.825380, -0.132084
501, 499, 0.807582, -0.406751
504, 496, 0.785742, -1.139195
500, 500, 0.773923, 0.203619
500, 500, 0.758468, -0.040529
508, 492, 0.729430, -2.115787
494, 506, 0.722874, 1.729545
502, 498, 0.701206, -0.742454
498, 502, 0.684825, 0.569842
494, 506, 0.674005, 1.699026
500, 500, 0.646648, -0.010010
480, 520, 0.648205, 5.239173
492, 508, 0.631412, 2.004212
488, 512, 0.622023, 3.224952
488, 512, 0.619587, 3.102878
488, 512, 0.635805, 3.072359
500, 500, 0.645439, 0.203619
499, 501, 0.665325, 0.447768
501, 499, 0.681199, -0.467788
500, 500, 0.695949, 0.142582
505, 495, 0.694232, -1.474899
513, 487, 0.670725, -3.275491
514, 486, 0.651170, -3.672231
518, 482, 0.631151, -4.618305
517, 483, 0.611911, -4.282602
512, 488, 0.590873, -3.122898
503, 497, 0.548788, -0.803491
497, 503, 0.506109, 0.966582
494, 506, 0.464352, 1.515915
496, 504, 0.424972, 1.119175
498, 502, 0.391886, 0.539323
500, 500, 0.375422, 0.142582
501, 499, 0.360373, -0.376232
500, 500, 0.349520, 0.051027
497, 503, 0.342956, 0.844508
500, 500, 0.330780, 0.234138
501, 499, 0.317710, -0.437269
501, 499, 0.309179, -0.376232
506, 494, 0.297124, -1.688528
506, 494, 0.289292, -1.658010
509, 491, 0.280254, -2.298898
511, 489, 0.269919, -2.878750
512, 488, 0.258330, -3.153417
512, 488, 0.245851, -3.153417
510, 490, 0.234006, -2.573565
505, 495, 0.226773, -1.383343
504, 496, 0.212705, -1.047639
498, 502, 0.205840, 0.722434
498, 502, 0.197556, 0.691916
497, 503, 0.190778, 0.997101
499, 501, 0.183500, 0.447768
496, 504, 0.185268, 1.241249
497, 503, 0.188486, 0.752953
496, 504, 0.194571, 1.241249
496, 504, 0.197494, 1.180212
497, 503, 0.197832, 0.905545
495, 505, 0.201053, 1.485397
496, 504, 0.200656, 1.210730
496, 504, 0.200548, 1.119175
496, 504, 0.198149, 1.027619
497, 503, 0.194486, 0.752953
500, 500, 0.189664, 0.142582
503, 497, 0.182622, -0.803491
505, 495, 0.176255, -1.322306
506, 494, 0.169432, -1.596973
506, 494, 0.161794, -1.688528
506, 494, 0.152502, -1.596973
504, 496, 0.136571, -1.078158
503, 497, 0.118647, -0.895047
503, 497, 0.100642, -0.772973
502, 498, 0.084683, -0.681417
503, 497, 0.070842, -0.864528
501, 499, 0.066054, -0.345714
502, 498, 0.060327, -0.742454
500, 500, 0.059799, 0.203619
500, 500, 0.059624, 0.173101
500, 500, 0.058212, -0.162603
501, 499, 0.057413, -0.406751
500, 500, 0.058503, -0.162603
499, 501, 0.059147, 0.295175
497, 503, 0.058756, 0.783471
494, 506, 0.060328, 1.576952
494, 506, 0.060386, 1.637989
494, 506, 0.061762, 1.576952
496, 504, 0.064194, 1.210730
498, 502, 0.064855, 0.539323
498, 502, 0.067255, 0.691916
498, 502, 0.068671, 0.600360
500, 500, 0.061427, -0.162603
500, 500, 0.055898, 0.173101
499, 501, 0.050919, 0.386731
498, 502, 0.052891, 0.508805
499, 501, 0.053723, 0.417249
494, 506, 0.061118, 1.576952
494, 506, 0.066164, 1.576952
492, 508, 0.066677, 2.126286
488, 512, 0.072497, 3.011322
487, 513, 0.078506, 3.316508
486, 514, 0.086962, 3.713248
483, 517, 0.101003, 4.323618
479, 521, 0.122022, 5.269692
478, 522, 0.146824, 5.666432
476, 524, 0.175569, 6.215765
475, 525, 0.204800, 6.398877
469, 531, 0.243123, 7.802728
465, 535, 0.287132, 8.779321
460, 540, 0.337004, 10.213691
452, 548, 0.394968, 12.014283
443, 557, 0.464142, 14.486282
430, 570, 0.544164, 17.599171
421, 579, 0.633621, 19.979614
408, 592, 0.739487, 23.092503
398, 602, 0.867391, 25.533983
387, 613, 1.016497, 28.463760
383, 617, 1.177911, 29.287760
371, 629, 1.361883, 32.431164
358, 642, 1.576449, 35.605087
354, 646, 1.787699, 36.612202
346, 654, 2.016617, 38.656940
329, 671, 2.265150, 42.990570
324, 676, 2.523403, 44.119755
319, 681, 2.789400, 45.493084
311, 689, 3.063937, 47.446270
308, 692, 3.342515, 48.178715
300, 700, 3.628057, 50.162418
289, 711, 3.922462, 52.848049
281, 719, 4.206677, 54.953823
272, 728, 4.489014, 57.212193
260, 740, 4.774280, 60.233524
254, 746, 5.058594, 61.637379
250, 750, 5.351296, 62.522411
251, 749, 5.674404, 62.339302
254, 746, 6.005445, 61.576340
263, 737, 6.334458, 59.440048
275, 725, 6.655751, 56.388195
292, 708, 6.966957, 52.237679
313, 687, 7.292741, 46.988495
333, 667, 7.603809, 41.922421
357, 643, 7.886674, 35.757683
377, 623, 8.141736, 30.874722
395, 605, 8.366382, 26.357983
407, 593, 8.560287, 23.367168
421, 579, 8.721646, 19.827021
437, 563, 8.847589, 15.920652
449, 551, 8.945080, 12.807764
463, 537, 9.018024, 9.389691
474, 526, 9.080041, 6.581988
486, 514, 9.128983, 3.621693
494, 506, 9.167610, 1.546434
503, 497, 9.189068, -0.834010
511, 489, 9.201728, -2.970305
522, 478, 9.201447, -5.503342
527, 473, 9.191089, -6.785120
532, 468, 9.179845, -8.097415
540, 460, 9.156616, -10.172673
540, 460, 9.134669, -10.203192
539, 461, 9.114830, -9.806452
537, 463, 9.086731, -9.318155
532, 468, 9.060178, -8.036378
523, 477, 9.038960, -5.808527
518, 482, 9.015577, -4.618305
513, 487, 8.995550, -3.275491
509, 491, 8.973471, -2.359935
510, 490, 8.949813, -2.604083
508, 492, 8.929993, -2.085269
512, 488, 8.907788, -3.214453
520, 480, 8.878730, -5.076083
528, 472, 8.843160, -7.242897
539, 461, 8.795412, -9.775933
555, 445, 8.726925, -13.865413
576, 424, 8.631851, -19.206154
601, 399, 8.510692, -25.309855
625, 375, 8.369891, -31.474592
654, 346, 8.196520, -38.615929
682, 318, 7.987164, -45.543629
707, 293, 7.745521, -51.860958
732, 268, 7.467465, -58.056217
756, 244, 7.149014, -64.037842
774, 226, 6.801382, -68.615616
790, 210, 6.428026, -72.644058
804, 196, 6.027047, -76.245247
817, 183, 5.602359, -79.297096
823, 177, 5.161262, -80.945091
828, 172, 4.717320, -82.226875
826, 174, 4.275269, -81.524948
813, 187, 3.851639, -78.289978
803, 197, 3.432038, -75.848503
807, 193, 2.993148, -76.886139
807, 193, 2.549351, -76.977692
788, 212, 2.141122, -72.094727
785, 215, 1.731580, -71.423317
788, 212, 1.316258, -72.186279
770, 230, 0.923173, -67.669548
773, 227, 0.509850, -68.310432
781, 219, 0.077881, -70.324654
774, 226, -0.340290, -68.524055
777, 223, -0.766855, -69.409096
789, 211, -1.208849, -72.491470
792, 208, -1.660354, -73.193398
793, 207, -2.111046, -73.315468
801, 199, -2.571151, -75.421249
807, 193, -3.041545, -76.916656
804, 196, -3.504201, -76.153694
800, 200, -3.968586, -75.085541
802, 198, -4.430219, -75.573837
798, 202, -4.890373, -74.749840
778, 222, -5.315572, -69.592209
759, 241, -5.719685, -64.800804
743, 257, -6.127716, -60.802883
704, 296, -6.495678, -51.067478
660, 340, -6.810743, -40.172371
639, 361, -7.116229, -34.801113
605, 395, -7.370874, -26.408522
572, 428, -7.571749, -18.076967
551, 449, -7.720830, -12.980376
535, 465, -7.820289, -8.829859
525, 475, -7.877533, -6.418897
518, 482, -7.898529, -4.557268
509, 491, -7.882480, -2.298898
501, 499, -7.850131, -0.406751
496, 504, -7.811002, 1.241249
488, 512, -7.760507, 3.133396
480, 520, -7.707248, 5.086581
476, 524, -7.654850, 6.185247
471, 529, -7.597061, 7.314432
466, 534, -7.535865, 8.718284
457, 543, -7.469707, 10.946136
445, 555, -7.395227, 13.906430
436, 564, -7.333148, 16.012209
427, 573, -7.262361, 18.484207
421, 579, -7.186555, 19.827021
419, 581, -7.105462, 20.406874
416, 584, -7.012338, 21.200356
410, 590, -6.908090, 22.512650
406, 594, -6.793345, 23.611317
402, 598, -6.675990, 24.526873
396, 604, -6.548102, 26.174871
394, 606, -6.420811, 26.571613
390, 610, -6.286279, 27.578722
390, 610, -6.145339, 27.639759
388, 612, -5.998500, 28.005981
379, 621, -5.837210, 30.355907
372, 628, -5.667622, 32.187016
356, 644, -5.481806, 36.062866
344, 656, -5.294306, 39.084198
331, 669, -5.092744, 42.471756
315, 685, -4.871222, 46.408642
308, 692, -4.636284, 48.148197
297, 703, -4.381618, 50.986416
278, 722, -4.086693, 55.564194
258, 742, -3.770767, 60.599747
241, 759, -3.437070, 64.933380
224, 776, -3.090249, 69.114410
210, 790, -2.724167, 72.685081
206, 794, -2.329977, 73.600639
206, 794, -1.915498, 73.692192
208, 792, -1.484677, 73.020782
216, 784, -1.043091, 71.037079
220, 780, -0.589364, 70.091003
229, 771, -0.130077, 67.954712
236, 764, 0.310520, 66.062569
242, 758, 0.726593, 64.719749
238, 762, 1.132502, 65.513237
234, 766, 1.524862, 66.703461
237, 763, 1.893871, 65.971016
241, 759, 2.246253, 64.933380
240, 760, 2.597453, 65.116493
236, 764, 2.957641, 66.032051
237, 763, 3.319508, 65.879456
254, 746, 3.685345, 61.545822
267, 733, 4.040687, 58.493973
270, 730, 4.404949, 57.731010
277, 723, 4.768161, 55.777824
294, 706, 5.109353, 51.718861
314, 686, 5.421467, 46.744347
324, 676, 5.715069, 44.241825
331, 669, 5.990734, 42.258125
334, 666, 6.256764, 41.678272
339, 661, 6.505558, 40.304939
345, 655, 6.738136, 38.870571
351, 649, 6.954030, 37.283607
359, 641, 7.160386, 35.483013
369, 631, 7.356284, 32.766869
