motor_front,motor_back,pitch_filter,pitch_desired
500, 500, -0.039344, -0.000000
500, 500, -0.042773, -0.000000
500, 500, -0.043799, -0.000000
500, 500, -0.043451, -0.000000
500, 500, -0.042171, -0.000000
500, 500, -0.038960, -0.000000
500, 500, -0.038381, -0.000000
500, 500, -0.041358, -0.000000
499, 501, -0.046727, -0.000000
498, 502, -0.049840, -0.000000
500, 500, -0.057836, -0.000000
500, 500, -0.066297, -0.000000
503, 497, -0.079536, -0.000000
504, 496, -0.092875, -0.000000
505, 495, -0.105660, -0.000000
505, 495, -0.118969, -0.000000
503, 497, -0.127426, -0.000000
503, 497, -0.136633, -0.000000
501, 499, -0.139196, -0.000000
504, 496, -0.149886, -0.000000
501, 499, -0.157923, -0.000000
492, 508, -0.139650, -0.000000
504, 496, -0.152861, -0.000000
505, 495, -0.156595, -0.000000
498, 502, -0.144953, -0.000000
499, 501, -0.138152, -0.000000
501, 499, -0.146275, -0.000000
502, 498, -0.154553, -0.000000
501, 499, -0.159992, -0.000000
496, 504, -0.159231, -0.000000
498, 502, -0.166636, -0.000000
502, 498, -0.169456, -0.000000
494, 506, -0.142280, -0.000000
493, 507, -0.105980, -0.000000
492, 508, -0.076081, -0.000000
496, 504, -0.060583, -0.000000
493, 507, -0.038861, -0.000000
493, 507, -0.018842, -0.000000
495, 505, -0.004197, -0.000000
496, 504, 0.007025, -0.000000
499, 501, 0.009991, -0.000000
499, 501, 0.010191, -0.000000
500, 500, 0.006591, -0.000000
500, 500, 0.001033, -0.000000
500, 500, -0.006500, -0.000000
500, 500, -0.012018, -0.000000
500, 500, -0.016091, -0.000000
500, 500, -0.015185, -0.000000
499, 501, -0.012425, -0.000000
502, 498, -0.018268, -0.000000
500, 500, -0.015652, -0.000000
502, 498, -0.017872, -0.000000
502, 498, -0.019097, -0.000000
503, 497, -0.024862, -0.000000
503, 497, -0.031242, -0.000000
503, 497, -0.040880, -0.000000
503, 497, -0.051933, -0.000000
502, 498, -0.062153, -0.000000
502, 498, -0.071497, -0.000000
500, 500, -0.071951, -0.000000
500, 500, -0.071355, -0.000000
499, 501, -0.065927, -0.000000
499, 501, -0.058863, -0.000000
499, 501, -0.048822, -0.000000
500, 500, -0.043060, -0.000000
499, 501, -0.031060, -0.000000
499, 501, -0.021525, -0.000000
499, 501, -0.013705, -0.000000
499, 501, -0.012061, -0.000000
497, 503, -0.010592, -0.000000
496, 504, -0.013482, -0.000000
496, 504, -0.016757, -0.000000
496, 504, -0.019734, -0.000000
494, 506, -0.015881, -0.000000
493, 507, -0.005614, -0.000000
493, 507, 0.009349, -0.000000
493, 507, 0.026702, -0.000000
492, 508, 0.047966, -0.000000
492, 508, 0.073856, -0.000000
493, 507, 0.099835, -0.000000
493, 507, 0.124798, -0.000000
491, 509, 0.153970, -0.000000
493, 507, 0.174873, -0.000000
492, 508, 0.195899, -0.000000
492, 508, 0.213047, -0.000000
494, 506, 0.225694, -0.000000
493, 507, 0.242923, -0.000000
494, 506, 0.256829, -0.000000
496, 504, 0.268240, -0.000000
496, 504, 0.277883, -0.000000
497, 503, 0.283518, -0.000000
496, 504, 0.290165, -0.000000
496, 504, 0.297205, -0.000000
495, 505, 0.302552, -0.000000
496, 504, 0.307125, -0.000000
494, 506, 0.316638, -0.000000
495, 505, 0.325622, -0.000000
495, 505, 0.334227, -0.000000
496, 504, 0.343063, -0.000000
497, 503, 0.346735, -0.000000
497, 503, 0.350925, -0.000000
497, 503, 0.352909, -0.000000
498, 502, 0.349155, -0.000000
498, 502, 0.342086, -0.000000
498, 502, 0.331443, -0.000000
