pitch_desired,pitch_filter,int_error,motor_front,motor_back
-0.000000, 0.634453, -0.190336, 988, 1012 
-0.000000, 0.637434, -0.381566, 988, 1012 
-0.000000, 0.639818, -0.573512, 989, 1011 
-0.000000, 0.639939, -0.765493, 989, 1011 
-0.000000, 0.641511, -0.957947, 990, 1010 
-0.000000, 0.644390, -1.151264, 989, 1011 
-0.000000, 0.650319, -1.346359, 988, 1012 
-0.000000, 0.649349, -1.541164, 990, 1010 
-0.000000, 0.649272, -1.735945, 989, 1011 
-0.000000, 0.648875, -1.930608, 990, 1010 
-0.000000, 0.651467, -2.126048, 988, 1012 
-0.000000, 0.648074, -2.320470, 989, 1011 
-0.000000, 0.647249, -2.514645, 988, 1012 
-0.000000, 0.646149, -2.708489, 988, 1012 
-0.000000, 0.643931, -2.901669, 988, 1012 
-0.000000, 0.641775, -3.094201, 987, 1013 
-0.000000, 0.638833, -3.285851, 987, 1013 
-0.000000, 0.636348, -3.476756, 987, 1013 
-0.000000, 0.630215, -3.665820, 988, 1012 
-0.000000, 0.623446, -3.852854, 988, 1012 
-0.000000, 0.623251, -4.039829, 986, 1014 
-0.000000, 0.619454, -4.225666, 987, 1013 
-0.000000, 0.616052, -4.410481, 987, 1013 
-0.000000, 0.619409, -4.596304, 985, 1015 
-0.000000, 0.615664, -4.781003, 987, 1013 
-0.000000, 0.622531, -4.967762, 984, 1016 
-0.000000, 0.615189, -5.152319, 987, 1013 
-0.000000, 0.629197, -5.341079, 980, 1020 
-0.000000, 0.632914, -5.530953, 983, 1017 
-0.000000, 0.644424, -5.724280, 980, 1020 
-0.000000, 0.665015, -5.923785, 977, 1023 
-0.000000, 0.689870, -6.130746, 970, 1030 
-0.000000, 0.739459, -6.352583, 961, 1039 
-0.000000, 0.798131, -6.592022, 952, 1048 
-0.000000, 0.898180, -6.861476, 933, 1067 
-0.000000, 1.026585, -7.169452, 917, 1083 
-0.000000, 1.176363, -7.522361, 900, 1100 
-0.000000, 1.371642, -7.933854, 881, 1119 
-0.000000, 1.593358, -8.411861, 866, 1134 
-0.000000, 1.870466, -8.973001, 846, 1154 
-0.000000, 2.151286, -9.618387, 843, 1157 
-0.000000, 2.471625, -10.359875, 840, 1160 
-0.000000, 2.815414, -11.204499, 837, 1163 
-0.000000, 3.160486, -12.152645, 842, 1158 
