roll_desired,roll_filter,int_r_error,motor_left,motor_right
-0.000000, -3.151649, 0.945495, 1045, 955 
-0.000000, -3.124796, 1.882933, 1045, 955 
-0.000000, -3.096110, 2.811767, 1045, 955 
-0.000000, -3.063719, 3.730882, 1044, 956 
-0.000000, -3.035203, 4.641443, 1047, 953 
-0.000000, -3.004410, 5.542766, 1047, 953 
-0.000000, -2.973291, 6.434753, 1047, 953 
-0.000000, -2.942461, 7.317492, 1047, 953 
-0.000000, -2.907168, 8.189642, 1046, 954 
-0.000000, -2.874694, 9.052051, 1047, 953 
-0.000000, -2.841738, 9.904572, 1047, 953 
-0.000000, -2.806579, 10.746546, 1047, 953 
-0.000000, -2.770278, 11.577629, 1048, 952 
-0.000000, -2.729690, 12.396536, 1047, 953 
-0.000000, -2.688067, 13.202956, 1048, 952 
-0.000000, -2.650305, 13.998048, 1048, 952 
-0.000000, -2.616113, 14.782882, 1049, 951 
-0.000000, -2.582978, 15.557775, 1048, 952 
-0.000000, -2.553383, 16.323790, 1049, 951 
-0.000000, -2.519470, 17.079630, 1048, 952 
-0.000000, -2.487316, 17.825825, 1047, 953 
-0.000000, -2.462944, 18.564709, 1049, 951 
-0.000000, -2.434856, 19.295166, 1050, 950 
-0.000000, -2.405832, 20.016916, 1048, 952 
-0.000000, -2.375143, 20.729460, 1047, 953 
-0.000000, -2.348180, 21.433914, 1049, 951 
-0.000000, -2.332158, 22.133562, 1051, 949 
-0.000000, -2.291075, 22.820885, 1043, 957 
-0.000000, -2.258872, 23.498547, 1045, 955 
-0.000000, -2.255811, 24.175289, 1055, 945 
-0.000000, -2.213350, 24.839294, 1044, 956 
-0.000000, -2.186389, 25.495211, 1049, 951 
-0.000000, -2.139276, 26.136993, 1038, 962 
-0.000000, -2.107456, 26.769230, 1044, 956 
-0.000000, -2.083889, 27.394396, 1049, 951 
-0.000000, -2.029661, 28.003294, 1040, 960 
-0.000000, -1.985747, 28.599018, 1049, 951 
-0.000000, -1.908415, 29.171543, 1043, 957 
-0.000000, -1.811674, 29.715046, 1037, 963 
-0.000000, -1.769141, 30.245789, 1053, 947 
-0.000000, -1.738314, 30.767282, 1051, 949 
-0.000000, -1.707266, 31.279463, 1047, 953 
-0.000000, -1.717100, 31.794592, 1051, 949 
-0.000000, -1.690642, 32.301785, 1040, 960 
-0.000000, -1.666559, 32.801754, 1043, 957 
-0.000000, -1.654941, 33.298237, 1052, 948 
-0.000000, -1.631893, 33.787804, 1057, 943 
-0.000000, -1.592903, 34.265675, 1072, 928 
-0.000000, -1.565614, 34.735359, 1084, 916 
-0.000000, -1.552378, 35.201073, 1097, 903 
-0.000000, -1.567603, 35.671352, 1109, 891 
-0.000000, -1.614370, 36.155663, 1120, 880 
-0.000000, -1.696895, 36.664730, 1120, 880 
-0.000000, -1.825249, 37.212303, 1128, 872 
-0.000000, -1.975538, 37.804966, 1126, 874 
-0.000000, -2.134638, 38.445358, 1120, 880 
-0.000000, -2.325713, 39.143074, 1123, 877 
-0.000000, -2.538410, 39.904598, 1114, 886 
-0.000000, -2.723928, 40.721775, 1105, 895 
-0.000000, -2.903246, 41.592751, 1106, 894 
-0.000000, -3.041591, 42.505226, 1097, 903 
-0.000000, -3.151504, 43.450676, 1095, 905 
-0.000000, -3.248369, 44.425186, 1099, 901 
-0.000000, -3.276250, 45.408062, 1091, 909 
-0.000000, -3.309433, 46.400890, 1099, 901 
-0.000000, -3.325772, 47.398621, 1098, 902 
-0.000000, -3.328810, 48.397263, 1094, 906 
-0.000000, -3.333820, 49.397408, 1095, 905 
-0.000000, -3.347183, 50.401562, 1090, 910 
-0.000000, -3.353902, 51.407734, 1085, 915 
-0.000000, -3.356532, 52.414692, 1080, 920 
-0.000000, -3.354204, 53.420952, 1077, 923 
-0.000000, -3.329228, 54.419720, 1069, 931 
-0.000000, -3.290565, 55.406891, 1068, 932 
-0.000000, -3.223750, 56.374016, 1063, 937 
-0.000000, -3.154433, 57.320347, 1068, 932 
-0.000000, -3.070896, 58.241615, 1071, 929 
-0.000000, -2.979051, 59.135330, 1078, 922 
-0.000000, -2.856943, 59.992413, 1083, 917 
-0.000000, -2.745534, 60.816074, 1088, 912 
-0.000000, -2.649195, 61.610832, 1093, 907 
-0.000000, -2.569101, 62.381561, 1097, 903 
-0.000000, -2.496361, 63.130470, 1097, 903 
-0.000000, -2.464511, 63.869823, 1100, 900 
-0.000000, -2.453091, 64.605751, 1100, 900 
-0.000000, -2.450415, 65.340874, 1096, 904 
-0.000000, -2.471017, 66.082176, 1095, 905 
-0.000000, -2.473333, 66.824173, 1089, 911 
-0.000000, -2.476476, 67.567116, 1090, 910 
-0.000000, -2.463866, 68.306274, 1090, 910 
-0.000000, -2.454011, 69.042480, 1094, 906 
-0.000000, -2.422653, 69.769279, 1095, 905 
-0.000000, -2.392530, 70.487038, 1097, 903 
-0.000000, -2.360955, 71.195328, 1099, 901 
-0.000000, -2.337436, 71.896561, 1101, 899 
-0.000000, -2.311776, 72.590096, 1095, 905 
-0.000000, -2.309752, 73.283020, 1100, 900 
-0.000000, -2.297288, 73.972206, 1089, 911 
-0.000000, -2.287782, 74.658539, 1087, 913 
-0.000000, -2.277793, 75.341873, 1082, 918 
-0.000000, -2.257516, 76.019127, 1079, 921 
-0.000000, -2.222457, 76.685867, 1074, 926 
-0.000000, -2.180074, 77.339890, 1075, 925 
-0.000000, -2.125717, 77.977608, 1074, 926 
-0.000000, -2.044585, 78.590981, 1078, 922 
-0.000000, -1.956365, 79.177887, 1083, 917 
-0.000000, -1.862327, 79.736588, 1086, 914 
-0.000000, -1.764226, 80.265854, 1090, 910 
-0.000000, -1.679607, 80.769737, 1095, 905 
