yaw_desired,yaw_gyro,m1,m2,m3,m4
0.000000, 0.047975, 600, 599, 599, 600 
0.000000, -0.165655, 599, 600, 600, 599 
0.000000, 0.292123, 600, 599, 599, 600 
0.000000, -0.104618, 599, 600, 600, 599 
0.000000, 0.047975, 600, 599, 599, 600 
0.000000, -0.196173, 599, 600, 600, 599 
0.000000, -0.165655, 599, 600, 600, 599 
0.000000, 0.139531, 600, 599, 599, 600 
0.000000, -0.196173, 599, 600, 600, 599 
0.000000, -0.257210, 599, 600, 600, 599 
0.000000, -0.226692, 599, 600, 600, 599 
0.000000, 0.078494, 600, 599, 599, 600 
0.000000, 0.047975, 600, 599, 599, 600 
0.000000, 0.078494, 600, 599, 599, 600 
0.000000, -0.379284, 598, 601, 601, 598 
0.000000, 0.383679, 601, 598, 598, 601 
0.000000, 0.170049, 600, 599, 599, 600 
0.000000, 0.658345, 601, 598, 598, 601 
0.000000, -5.231727, 584, 615, 615, 584 
0.000000, 7.250343, 621, 578, 578, 621 
0.000000, 3.893307, 611, 588, 588, 611 
0.000000, -23.634390, 529, 670, 670, 529 
0.000000, 45.367962, 736, 463, 463, 736 
0.000000, -37.642384, 487, 712, 712, 487 
0.000000, 16.405897, 649, 550, 550, 649 
0.000000, 0.109012, 600, 599, 599, 600 
0.000000, -3.736320, 588, 611, 611, 588 
0.000000, -3.217505, 590, 609, 609, 590 
0.000000, 13.842340, 641, 558, 558, 641 
0.000000, -18.446243, 544, 655, 655, 544 
0.000000, 9.325602, 627, 572, 572, 627 
0.000000, 1.268715, 603, 596, 596, 603 
0.000000, -5.231727, 584, 615, 615, 584 
0.000000, -0.745506, 597, 602, 602, 597 
0.000000, 10.821009, 632, 567, 567, 632 
0.000000, -14.204169, 557, 642, 642, 557 
0.000000, 6.182196, 618, 581, 581, 618 
0.000000, 2.794641, 608, 591, 591, 608 
0.000000, -5.109653, 584, 615, 615, 584 
0.000000, -1.569506, 595, 604, 604, 595 
0.000000, 9.752861, 629, 570, 570, 629 
0.000000, -11.671133, 564, 635, 635, 564 
0.000000, 4.595233, 613, 586, 586, 613 
0.000000, 3.832270, 611, 588, 588, 611 
0.000000, -4.499283, 586, 613, 613, 586 
0.000000, -2.546098, 592, 607, 607, 592 
0.000000, 9.173009, 627, 572, 572, 627 
0.000000, -6.360912, 580, 619, 619, 580 
0.000000, -1.203284, 596, 603, 603, 596 
0.000000, 4.747826, 614, 585, 585, 614 
0.000000, 1.543382, 604, 595, 595, 604 
0.000000, -5.323283, 584, 615, 615, 584 
0.000000, 3.832270, 611, 588, 588, 611 
0.000000, 1.024567, 603, 596, 596, 603 
0.000000, -1.447432, 595, 604, 604, 595 
0.000000, 0.627827, 601, 598, 598, 601 
0.000000, 3.069308, 609, 590, 590, 609 
0.000000, -0.104618, 599, 600, 600, 599 
0.000000, 2.245308, 606, 593, 593, 606 
0.000000, 1.116123, 603, 596, 596, 603 
0.000000, 1.909604, 605, 594, 594, 605 
0.000000, 1.268715, 603, 596, 596, 603 
0.000000, 2.092715, 606, 593, 593, 606 
0.000000, 1.451826, 604, 595, 595, 604 
0.000000, 2.397900, 607, 592, 592, 607 
0.000000, 2.825160, 608, 591, 591, 608 
0.000000, 3.466048, 610, 589, 589, 610 
0.000000, 3.008271, 609, 590, 590, 609 
0.000000, 4.106937, 612, 587, 587, 612 
0.000000, 3.435530, 610, 589, 589, 610 
0.000000, 4.686789, 614, 585, 585, 614 
0.000000, 3.557604, 610, 589, 589, 610 
0.000000, 3.801752, 611, 588, 588, 611 
0.000000, 1.360271, 604, 595, 595, 604 
0.000000, 1.909604, 605, 594, 594, 605 
0.000000, 2.367382, 607, 592, 592, 607 
0.000000, 2.306345, 606, 593, 593, 606 
0.000000, 2.397900, 607, 592, 592, 607 
0.000000, 3.435530, 610, 589, 589, 610 
0.000000, 2.733604, 608, 591, 591, 608 
0.000000, 1.512863, 604, 595, 595, 604 
0.000000, 0.505753, 601, 598, 598, 601 
0.000000, 2.123234, 606, 593, 593, 606 
0.000000, 1.238197, 603, 596, 596, 603 
0.000000, 1.879086, 605, 594, 594, 605 
0.000000, 1.665456, 604, 595, 595, 604 
0.000000, 1.940123, 605, 594, 594, 605 
0.000000, 1.757012, 605, 594, 594, 605 
0.000000, 2.581011, 607, 592, 592, 607 
0.000000, 0.658345, 601, 598, 598, 601 
0.000000, 2.367382, 607, 592, 592, 607 
0.000000, 1.177160, 603, 596, 596, 603 
0.000000, 1.299234, 603, 596, 596, 603 
0.000000, 1.207678, 603, 596, 596, 603 
0.000000, 1.634937, 604, 595, 595, 604 
0.000000, 2.428419, 607, 592, 592, 607 
0.000000, 1.512863, 604, 595, 595, 604 
0.000000, 2.062197, 606, 593, 593, 606 
0.000000, 2.001160, 606, 593, 593, 606 
0.000000, 1.726493, 605, 594, 594, 605 
0.000000, 2.336863, 607, 592, 592, 607 
0.000000, 1.299234, 603, 596, 596, 603 
0.000000, 1.085604, 603, 596, 596, 603 
0.000000, 1.390789, 604, 595, 595, 604 
0.000000, 2.245308, 606, 593, 593, 606 
